Episode,Score
0,42.55329342937267
1,-69.17095089213953
2,-158.08532298423313
3,-149.36415587865446
4,-87.48298594396653
5,-79.71913681210364
6,-186.70690814821694
7,-83.19946499643783
8,61.60067607338638
9,-260.5070287579572
10,-53.17182414195605
11,-76.55682470455277
12,21.16129593857717
13,-16.6924531279912
14,-304.0523829196669
15,-83.36767849327221
16,-44.122874592868705
17,-153.64093233259652
18,-4.397234858127803
19,-147.39594554410144
20,26.02800739617102
21,-188.75830867682396
22,-144.85942338065604
23,-76.18869514412779
24,-85.65398453903961
25,-164.52947866666872
26,-133.85214194863084
27,-220.99501033124238
28,-179.76310507623714
29,-63.64482819994514
30,-102.78055379402
31,-94.86542709397212
32,-88.00518060433907
33,-61.18344899101612
34,-52.3978024375657
35,-48.98737176644559
36,-250.22288389630347
37,-112.21936701343587
38,-75.79993569262886
39,-180.31071913583438
40,-89.69281232380433
41,-18.049553335603278
42,-185.98726270671224
43,18.90246789846266
44,-67.46309038569814
45,-62.04948758786708
46,-264.2850798328956
47,-278.3286578851631
48,-62.980534890087085
49,-98.6979085143821
50,-63.4031951674361
51,-85.89814505780174
52,-26.335863577657747
53,-65.21583104239012
54,-295.9333418718597
55,-77.47294115064658
56,-177.20314997705358
57,-55.864750900168396
58,-225.97678182172433
59,-374.4229649223555
60,-124.91143233512057
61,-73.5684182436589
62,-91.92339757401079
63,-53.1618278796053
64,-42.22597899187238
65,-254.258398324227
66,-151.83931856524208
67,-50.18149728275731
68,-82.03481803727114
69,-65.98801572883022
70,-0.8852624024981708
71,-167.48180874751463
72,-11.815503934161427
73,-168.86566026030482
74,-208.20598591967843
75,-6.362729653997064
76,-172.30146252145687
77,-464.7496984466921
78,-70.96601176601011
79,-78.15478568775137
80,-108.20451362155032
81,-105.03073166316406
82,-130.81398016207245
83,-100.80765142257222
84,-253.1741840960237
85,-164.53227298556197
86,-311.5955669939314
87,-180.6215555258774
88,-79.37660464480618
89,-14.631325173041063
90,10.068693457298977
91,-107.94014426056539
92,-134.89428416466407
93,-88.39005573002075
94,-74.50445209139168
95,-5.881665854485433
96,-102.9433537037787
97,-119.18560181842501
98,-110.97170782195481
99,-10.968004543023653
100,-97.74937065030778
101,-140.1642371944409
102,-144.43175025873833
103,-201.23159026738324
104,-103.90438985257543
105,-81.04410360617642
106,-112.04440324995635
107,-61.93009935517098
108,-81.09920440002705
109,-95.17919242527918
110,-75.0451993463935
111,-42.115317995173
112,-104.33311379953207
113,-109.08955350399302
114,-98.39300428228832
115,-98.16974166025093
116,-79.17179008481517
117,-128.01508334029222
118,-384.17850682189436
119,-96.37519990439178
120,-113.9021066459912
121,-76.96723330293533
122,-76.81199603336597
123,-112.99719613233866
124,-373.09167663802566
125,-100.90557518902024
126,-104.3715874378381
127,-128.2477702999848
128,-569.8963991481121
129,-84.0393988802093
130,-553.3954621642854
131,-35.76869806450932
132,-295.07438483577806
133,-133.24571795390796
134,-100.46243311624251
135,-36.95935279348133
136,-106.18515635313884
137,-93.45984910436346
138,-127.5933561033674
139,-140.9230649288311
140,-157.47781379541308
141,-140.09606672731604
142,-93.69754898980362
143,-120.85473759285085
144,-116.33186914057862
145,-266.6279091662214
146,-149.60299876143492
147,-108.2014749922011
148,-34.015163181595724
149,13.23506132505726
