Episode,Score
0,-66.76223341584341
1,-43.222489446904554
2,-176.79724657298743
3,-32.62394334096521
4,-194.30439843230022
5,-136.50117645241676
6,-65.03968750485932
7,-227.14962730223726
8,-78.63126119650599
9,-45.14817391061398
10,-83.42113940209907
11,-73.0527112565091
12,-39.428424700344735
13,-98.64292776772939
14,46.60534286727767
15,-168.29146882823335
16,-80.77054895029504
17,-132.31817283509037
18,-178.3558298575607
19,-60.65061121973283
20,-260.178200986992
21,-153.1563935134286
22,-179.68143918928692
23,33.05828510207914
24,-50.672325807870955
25,-91.59312955389802
26,-194.20270346539343
27,-74.34752823639961
28,-182.07056999137149
29,-105.63120898745737
30,-186.25957813941162
31,-56.166253192378576
32,-59.765263050471724
33,-48.0608806655988
34,-285.13739588995907
35,-312.9525952553204
36,-140.75064592867997
37,-61.47303722610286
38,-85.64172855210074
39,-148.80588325225398
40,-314.1177838875111
41,-191.52335891260623
42,-322.28260963563207
43,-86.20074040573931
44,30.788285455087532
45,-180.47633873630843
46,-190.0275975662203
47,-96.21589451452914
48,-71.57923033263663
49,12.227220770463518
50,-51.083261388209564
51,-40.90071177705117
52,-304.65835891235884
53,-143.58652285300406
54,-65.71720986504897
55,-59.65285405400124
56,-104.9995661597821
57,-308.62335017207556
58,-71.28582661313612
59,-57.76227036650473
60,-155.08841286934458
61,-20.740312096673975
62,-467.460031117477
63,-70.70631036018105
64,-93.53306290459908
65,-178.99996254821986
66,-6.132782409855281
67,-59.69029376695243
68,-29.192627786494
69,-89.379423555896
70,-495.15064047349756
71,-105.65333166442335
72,-17.92199822173913
73,-228.8578087856716
74,-88.00062129075815
75,-82.92487393139406
76,-251.82120024788782
77,-109.04776416461605
78,-148.47503981619718
79,-116.20523772048011
80,-43.615331409617454
81,-279.8844019185125
82,-313.2336623392165
83,-4.584801361465082
84,-68.8094908718366
85,-182.44087190460758
86,-37.303248013992715
87,-294.7559337473907
88,-36.69663167804483
89,-295.8391028828263
90,-199.4648660202069
91,-56.132652258693795
92,-102.54690885740327
93,-267.9614643505001
94,-244.27918135839957
95,-313.83258650219534
96,-343.89155599741207
97,-120.58849092820833
98,-117.59572529898098
99,-247.99859061940742
100,-220.46689513120486
101,-186.44805902009065
102,-476.4617277708104
103,-336.3575410529271
104,-289.27907405593305
105,-408.5520232695908
106,-233.54459938087004
107,-76.1318857941636
108,-241.15831248714628
109,-360.94459143415844
110,-197.3048212908298
111,-450.23745281939125
112,-405.6286797910863
113,-302.44794882142395
114,-378.55807165504706
115,-239.61697283112443
116,-342.82370484651676
117,-441.08912168223355
118,-117.17751251719937
119,-41.31771589958376
120,-553.3868226755959
121,-307.74044916799494
122,-357.16265903689657
123,-336.76332177211424
124,-237.40329015848428
125,-279.55725802670304
126,-460.2542224327025
127,-420.3556735650349
128,-240.99438071732746
129,-402.06811338240936
130,-355.6624343382684
131,-352.0640792625504
132,-476.38136509870685
133,-289.74449676743563
134,-288.1921338571258
135,-369.1300069189434
136,-439.5616332183891
137,-173.23503850321237
138,-352.18456115685535
139,-521.307898385918
140,-226.89668313379656
141,-245.89446003428606
142,-475.5630701524854
143,-305.20546307470903
144,-325.65983215331505
145,-401.93946707475664
146,-614.2135593942542
147,-460.76561069480294
148,-292.83204051453026
149,-393.84612000450085
150,-440.24393236125786
151,-474.6534741838876
152,-461.77200028990006
153,-371.5732914909109
154,-411.76423160683976
155,-329.89943896712543
156,-457.54405918330644
157,-477.8611610218577
158,-457.9875154885431
159,-518.2098876230218
160,-461.87326901152113
161,-490.130311786071
162,-337.76550799643735
163,-446.83206616316045
164,-424.1356022104756
165,-466.56527689743757
166,-335.79701029993237
167,-296.79828452871476
168,-461.3397689373816
169,-360.74757639899593
170,-442.2375123940412
171,-600.6004131824773
172,-310.25979502941436
173,-506.32246912364644
174,-510.0569455615932
175,-311.1006897486035
176,-489.8156417080638
177,-322.9524279904422
178,-318.7318397908439
179,-453.33280719930485
180,-450.35333460382265
181,-411.297123258175
182,-413.10013565903586
183,-329.7714592503836
184,-396.6263751094141
185,-369.30156878631334
186,-550.9181799354631
187,-396.86363300571406
188,-378.34746060391024
